filename,source_pmc,paper_title,figure_num,description,license,shows_spina_bifida,image_type
pmc8436766_fig2_chiari_lemon_banana.jpg,PMC8436766,"Cranial findings detected by second-trimester ultrasound in fetuses with myelomeningocele (BJOG 2021)",Fig2,"Classic Chiari II: lemon sign + banana sign + transventricular views",CC-BY-4.0,yes,composite_panel
pmc8436766_fig3_ventriculomegaly_cranial.jpg,PMC8436766,"Cranial findings detected by second-trimester ultrasound in fetuses with myelomeningocele (BJOG 2021)",Fig3,"Ventriculomegaly + pointed occipital horn + midline cyst",CC-BY-4.0,yes,composite_panel
pmc4945507_fig1_lemon_sign_spine.jpg,PMC4945507,"Prenatal diagnosis and assessment of congenital spinal anomalies (World J Orthop 2016)",Fig1,"Lemon-shaped skull + spine defect ultrasound",CC-BY-NC-4.0,yes,composite_panel
pmc4945507_fig2_banana_sign_chiari.jpg,PMC4945507,"Prenatal diagnosis and assessment of congenital spinal anomalies (World J Orthop 2016)",Fig2,"Banana-shaped cerebellum + Chiari II views",CC-BY-NC-4.0,yes,composite_panel
pmc4945507_fig5_spinal_dysraphism.jpg,PMC4945507,"Prenatal diagnosis and assessment of congenital spinal anomalies (World J Orthop 2016)",Fig5,"Spinal dysraphism coronal 3D + sagittal 2D",CC-BY-NC-4.0,yes,composite_panel
pmc4945507_fig6_spinal_tether.jpg,PMC4945507,"Prenatal diagnosis and assessment of congenital spinal anomalies (World J Orthop 2016)",Fig6,"Spinal tether with low-lying conus",CC-BY-NC-4.0,yes,composite_panel
pmc7700296_fig1_normal_anatomy.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig1,"Normal mid-sagittal fetal brain anatomy",CC-BY-4.0,no,composite_panel
pmc7700296_fig2_case1_brainstem.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig2,"Case 1: brainstem abnormality",CC-BY-4.0,yes,composite_panel
pmc7700296_fig3_case2_lemon_banana.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig3,"Case 2: lemon sign + banana sign + L5-S1 defect",CC-BY-4.0,yes,composite_panel
pmc7700296_fig4_case3_myelomeningocele.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig4,"Case 3: myelomeningocele sagittal/axial",CC-BY-4.0,yes,composite_panel
pmc7700296_fig5_case4_ntd.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig5,"Case 4: neural tube defect + absent IT",CC-BY-4.0,yes,composite_panel
pmc7700296_fig6_case5_absent_IT.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig6,"Case 5: absent intracranial translucency",CC-BY-4.0,yes,composite_panel
pmc7700296_fig7_case6_encephalocele.jpg,PMC7700296,"Intracranial Translucency screening for NTDs (Diagnostics 2020)",Fig7,"Case 6: occipital encephalocele",CC-BY-4.0,yes,composite_panel
pmc4898641_fig4_mmc_lemon_banana_signs.jpg,PMC4898641,"Spina bifida (Nat Rev Dis Primers 2015)",Fig4,"Normal vs MMC: spine views + lemon sign + banana sign (8 panels)",Author manuscript,yes,composite_panel
pmc9857041_fig1_ftas_protocol.jpg,PMC9857041,"First Trimester US Detection of Fetal CNS Anomalies (Brain Sci 2023)",Fig1,"FTAS protocol showing normal CNS evaluation landmarks",CC-BY-4.0,no,composite_panel
pmc9857041_fig3_osb_case1.jpg,PMC9857041,"First Trimester US Detection of Fetal CNS Anomalies (Brain Sci 2023)",Fig3,"Open spina bifida case 1 at 12w+3d",CC-BY-4.0,yes,composite_panel
pmc9857041_fig4_osb_case3.jpg,PMC9857041,"First Trimester US Detection of Fetal CNS Anomalies (Brain Sci 2023)",Fig4,"Open spina bifida case 3 at 13w+2d",CC-BY-4.0,yes,composite_panel
pmc9857041_fig5_cephalocele.jpg,PMC9857041,"First Trimester US Detection of Fetal CNS Anomalies (Brain Sci 2023)",Fig5,"Occipital cephalocele at 13w+6d",CC-BY-4.0,yes,composite_panel
pmc10309335_fig1_2d_spina_bifida.jpg,PMC10309335,"2D vs 3D US Evaluation of Lesion Level in Spina Bifida (Rev Bras Ginecol Obstet 2017)",Fig1,"2D ultrasound showing spina bifida lesion level landmarks",CC-BY-4.0,yes,single_us
